SSC_CODE_2016,Median_age_persons,Median_mortgage_repay_monthly,Median_tot_prsnl_inc_weekly,Median_rent_weekly,Median_tot_fam_inc_weekly,Average_num_psns_per_bedroom,Median_tot_hhd_inc_weekly,Average_household_size
SSC10123,30,0,860,0,2125,1,1625,3.4
SSC10124,53,0,537,0,1374,0,1749,2
SSC10125,68,0,366,0,949,0.5,725,1.7
SSC10126,48,0,374,0,0,0,0,0
SSC10127,53,0,525,0,0,0,887,0
SSC10128,52,0,700,0,1374,0,1624,1
SSC10129,50,3640,725,0,1916,0.8,1875,2.5
SSC10130,47,1700,484,231,1375,0.8,1375,3
SSC10131,61,0,687,0,0,1,0,0
SSC10132,37,1654,571,290,1361,0.9,1278,3
SSC10133,63,0,687,0,0,0,762,0
SSC10134,49,0,589,100,1812,0.7,1437,2.3
SSC10135,43,1959,612,0,1625,1,1499,2.9
SSC10136,54,0,450,0,1416,0.4,900,1.4
SSC10137,28,0,437,0,1812,1.2,1749,0
